InternalProjectID,AverageCount,AverageForecast,Error,PercentError,AbsPE,ImprovementType,Func_Class,Forecast_Method,Diff_Year,UnifiedImprovementType
22772,20434,29147.2,-8713.2,-29.89378053,29.89378053,3,2.2,6,3,1
22788,34920,46460,-11540,-24.83857081,24.83857081,12,1,6,1,3
22853,30230,30592.16667,-362.1666667,-1.183854255,1.183854255,1,1,6,2,1
22889,47160,57105.5,-9945.5,-17.41601072,17.41601072,11,1,6,4,2
2293,8691,7550,1141,15.11258278,15.11258278,12,3,5,1,3
2298,3496.666667,3066.666667,430,14.02173913,14.02173913,12,4.333333333,2,1,3
23022,3600,3519,81,2.301790281,2.301790281,1,4,6,1,1
23029,17985,21337.5,-3352.5,-15.71177504,15.71177504,2,3,6,1,1
23030,15110,30522.5,-15412.5,-50.49553608,50.49553608,12,4,6,2,3
2308,21133.33333,27200,-6066.666667,-22.30392157,22.30392157,12,3,4,4,3
23104,12030,10631,1399,13.1596275,13.1596275,1,4,6,2,1
23174,1980,3776.25,-1796.25,-47.56703078,47.56703078,12,5,6,2,3
2320,28650,32000,-3350,-10.46875,10.46875,12,3,1,1,3
2322,30566.66667,22933.33333,7633.333333,33.28488372,33.28488372,12,3,1,3,3
23265,11080,14695,-3615,-24.60020415,24.60020415,12,3.5,6,3,3
2329,26366.66667,27066.66667,-700,-2.586206897,2.586206897,12,3,1,3,3
2341,15633.33333,15600,33.33333333,0.213675214,0.213675214,12,3.333333333,4,1,3
2345,7866.666667,8233.333333,-366.6666667,-4.453441296,4.453441296,12,3.666666667,4,3,3
23569,5506.666667,6615,-1108.333333,-16.75485009,16.75485009,12,3.666666667,6,2,3
23574,5482.5,6274.125,-791.625,-12.61729723,12.61729723,1,4,6,2,1
23576,11610,11930,-320,-2.682313495,2.682313495,1,4,6,1,1
23577,6777.5,7508.125,-730.625,-9.731124615,9.731124615,1,4.75,6,2,1
23582,1752,2785.666,-1033.666,-37.10660216,37.10660216,1,5,6,2,1
23584,6730,6997.5,-267.5,-3.822793855,3.822793855,1,3,6,1,1
23586,10186,14360.5,-4174.5,-29.0693221,29.0693221,7.6,4.4,6,0.6,2
23587,3850,6444.17,-2594.17,-40.25607642,40.25607642,1,3,6,1,1
23588,920,1304.17,-384.17,-29.45704931,29.45704931,1,6,6,3,1
2359,9166.666667,9433.333333,-266.6666667,-2.826855124,2.826855124,12,3,1,2,3
2368,13400,15500,-2100,-13.5483871,13.5483871,12,3,4,3,3
2369,13200,14650,-1450,-9.897610922,9.897610922,12,3.5,4,3,3
23716,11710,12836.67,-1126.67,-8.776964742,8.776964742,1,3,6,1,1
23717,9290,10080,-790,-7.837301587,7.837301587,12,3,6,2,3
2372,2200,2000,200,10,10,12,4,1,3,3
2373,7700,8700,-1000,-11.49425287,11.49425287,12,3,1,2,3
23730,63585,81905.75,-18320.75,-22.36808771,22.36808771,1,1,6,2,1
